Statistic Label,Year,Age Group,Sex,Education Attainment Level,NUTS 2 Region,UNIT,VALUE
Annual unemployment rate,2021,All ages,Both sexes,Primary and lower secondary education (Levels 1-2),Southern,%,11.7
Annual unemployment rate,2021,All ages,Both sexes,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,12.1
Annual unemployment rate,2021,All ages,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,6.2
Annual unemployment rate,2021,All ages,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,8.5
Annual unemployment rate,2021,All ages,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,8.6
Annual unemployment rate,2021,All ages,Both sexes,Tertiary education (Levels 5-8),Southern,%,4.1
Annual unemployment rate,2021,All ages,Both sexes,Tertiary education (Levels 5-8),Eastern and Midland,%,4.5
Annual unemployment rate,2022,All ages,Both sexes,Levels of Education (Levels  0-8),Northern and Western,%,3.6
Annual unemployment rate,2022,All ages,Both sexes,Levels of Education (Levels  0-8),Southern,%,4.2
Annual unemployment rate,2022,All ages,Both sexes,Levels of Education (Levels  0-8),Eastern and Midland,%,4.9
Annual unemployment rate,2022,All ages,Both sexes,Primary and lower secondary education (Levels 1-2),Southern,%,8
Annual unemployment rate,2022,All ages,Both sexes,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,10.5
Annual unemployment rate,2022,All ages,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,5.4
Annual unemployment rate,2022,All ages,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,5.3
Annual unemployment rate,2022,All ages,Both sexes,Tertiary education (Levels 5-8),Southern,%,2.6
Annual unemployment rate,2022,All ages,Both sexes,Tertiary education (Levels 5-8),Eastern and Midland,%,3.7
Annual unemployment rate,2023,All ages,Both sexes,Levels of Education (Levels  0-8),Northern and Western,%,3.7
Annual unemployment rate,2023,All ages,Both sexes,Levels of Education (Levels  0-8),Southern,%,4.6
Annual unemployment rate,2023,All ages,Both sexes,Levels of Education (Levels  0-8),Eastern and Midland,%,4.2
Annual unemployment rate,2023,All ages,Both sexes,Primary and lower secondary education (Levels 1-2),Southern,%,7.2
Annual unemployment rate,2023,All ages,Both sexes,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,10.9
Annual unemployment rate,2023,All ages,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,4.6
Annual unemployment rate,2023,All ages,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,6
Annual unemployment rate,2023,All ages,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,5.5
Annual unemployment rate,2023,All ages,Both sexes,Tertiary education (Levels 5-8),Southern,%,3.1
Annual unemployment rate,2023,All ages,Both sexes,Tertiary education (Levels 5-8),Eastern and Midland,%,2.5
Annual unemployment rate,2024,All ages,Both sexes,Levels of Education (Levels  0-8),Northern and Western,%,4.2
Annual unemployment rate,2024,All ages,Both sexes,Levels of Education (Levels  0-8),Southern,%,4.6
Annual unemployment rate,2024,All ages,Both sexes,Levels of Education (Levels  0-8),Eastern and Midland,%,4.6
Annual unemployment rate,2024,All ages,Both sexes,Primary and lower secondary education (Levels 1-2),Southern,%,11.9
Annual unemployment rate,2024,All ages,Both sexes,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,10.2
Annual unemployment rate,2024,All ages,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,4.8
Annual unemployment rate,2024,All ages,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,5.6
Annual unemployment rate,2024,All ages,Both sexes,Tertiary education (Levels 5-8),Southern,%,3.1
Annual unemployment rate,2024,All ages,Both sexes,Tertiary education (Levels 5-8),Eastern and Midland,%,3.3
